2021-11-26 10:38:47,914 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 10:38:47,915 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\Java\eGovFrameDev-3.7.0-64bit\eGovFrameDev-3.7.0-64bit\workspace\INIT_FIRSTPROJECT\META-INF\maven\INIT\INIT_FIRSTPROJECT\src\main\resources
2021-11-26 10:38:47,917 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 10:38:47,919 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\Java\eGovFrameDev-3.7.0-64bit\eGovFrameDev-3.7.0-64bit\workspace\INIT_FIRSTPROJECT\META-INF\maven\INIT\INIT_FIRSTPROJECT\src\test\resources
2021-11-26 10:55:41,882 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 10:55:41,884 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 10:55:41,887 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 10:55:41,889 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 10:56:24,537 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 10:56:24,540 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-11-26 10:56:24,547 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 10:56:24,549 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 11:21:47,384 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:21:47,415 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 41 resources
2021-11-26 11:21:47,433 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
